name,pclass,sex,age,fare,survived
"Stanley, Miss. Amy Zillah Elsie",3,female,23,7.55,1
"Stanley, Mr. Edward Roland",3,male,21,8.05,0
"Stanton, Mr. Samuel Ward",2,male,41,15.0458,0
"Stead, Mr. William Thomas",1,male,62,26.55,0
"Stengel, Mr. Charles Emil Henry",1,male,54,55.4417,1
"Stengel, Mrs. Charles Emil Henry (Annie May Morris)",1,female,43,55.4417,1
"Stephenson, Mrs. Walter Bertram (Martha Eustis)",1,female,52,78.2667,1
"Stokes, Mr. Philip Joseph",2,male,25,10.5,0
"Stone, Mrs. George Nelson (Martha Evelyn)",1,female,62,80,1
"Stoytcheff, Mr. Ilia",3,male,19,7.8958,0
"Strandberg, Miss. Ida Sofia",3,female,22,9.8375,0
"Stranden, Mr. Juho",3,male,31,7.925,1
"Straus, Mr. Isidor",1,male,67,221.7792,0
"Straus, Mrs. Isidor (Rosalie Ida Blun)",1,female,63,221.7792,0
"Strilic, Mr. Ivan",3,male,27,8.6625,0
"Strom, Miss. Telma Matilda",3,female,2,10.4625,0
"Strom, Mrs. Wilhelm (Elna Matilda Persson)",3,female,29,10.4625,0
"Sunderland, Mr. Victor Francis",3,male,16,8.05,1
"Sundman, Mr. Johan Julian",3,male,44,7.925,1
"Sutehall, Mr. Henry Jr",3,male,25,7.05,0
"Sutton, Mr. Frederick",1,male,61,32.3208,0
"Svensson, Mr. Johan",3,male,74,7.775,0
"Svensson, Mr. Johan Cervin",3,male,14,9.225,1
"Svensson, Mr. Olof",3,male,24,7.7958,0
"Swane, Mr. George",2,male,18.5,13,0
"Sweet, Mr. George Frederick",2,male,14,65,0
"Swift, Mrs. Frederick Joel (Margaret Welles Barron)",1,female,48,25.9292,1
"Taussig, Miss. Ruth",1,female,18,79.65,1
"Taussig, Mr. Emil",1,male,52,79.65,0
"Taussig, Mrs. Emil (Tillie Mandelbaum)",1,female,39,79.65,1
"Taylor, Mr. Elmer Zebley",1,male,48,52,1
"Tenglin, Mr. Gunnar Isidor",3,male,25,7.7958,1
"Thayer, Mr. John Borland",1,male,49,110.8833,0
"Thayer, Mr. John Borland Jr",1,male,17,110.8833,1
"Thayer, Mrs. John Borland (Marian Longstreth Morris)",1,female,39,110.8833,1
"Theobald, Mr. Thomas Leonard",3,male,34,8.05,0
"Thomas, Master. Assad Alexander",3,male,0.42,8.5167,1
"Thomas, Mrs. Alexander (Thamine ""Thelma"")",3,female,16,8.5167,1
"Tikkanen, Mr. Juho",3,male,32,7.925,0
"Tomlin, Mr. Ernest Portage",3,male,30.5,8.05,0
"Toomey, Miss. Ellen",2,female,50,10.5,1
"Torber, Mr. Ernst William",3,male,44,8.05,0
"Tornquist, Mr. William Henry",3,male,25,0,1
"Touma, Master. Georges Youssef",3,male,7,15.2458,1
"Touma, Miss. Maria Youssef",3,female,9,15.2458,1
"Touma, Mrs. Darwis (Hanne Youssef Razi)",3,female,29,15.2458,1
"Troupiansky, Mr. Moses Aaron",2,male,23,13,0
"Trout, Mrs. William H (Jessie L)",2,female,28,12.65,1
"Troutt, Miss. Edwina Celia ""Winnie""",2,female,27,10.5,1
"Tucker, Mr. Gilbert Milligan Jr",1,male,31,28.5375,1
"Turcin, Mr. Stjepan",3,male,36,7.8958,0
"Turja, Miss. Anna Sofia",3,female,18,9.8417,1
"Turkula, Mrs. (Hedwig)",3,female,63,9.5875,1
"Turpin, Mr. William John Robert",2,male,29,21,0
"Uruchurtu, Don. Manuel E",1,male,40,27.7208,0
"van Billiard, Master. Walter John",3,male,11.5,14.5,0
"van Billiard, Mr. Austin Blyler",3,male,40.5,14.5,0
"Van der hoef, Mr. Wyckoff",1,male,61,33.5,0
"Van Impe, Miss. Catharina",3,female,10,24.15,0
"Van Impe, Mr. Jean Baptiste",3,male,36,24.15,0
"Van Impe, Mrs. Jean Baptiste (Rosalie Paula Govaert)",3,female,30,24.15,0
"Vande Velde, Mr. Johannes Joseph",3,male,33,9.5,0
"Vande Walle, Mr. Nestor Cyriel",3,male,28,9.5,0
"Vanden Steen, Mr. Leo Peter",3,male,28,9.5,0
"Vander Cruyssen, Mr. Victor",3,male,47,9,0
"Vander Planke, Miss. Augusta Maria",3,female,18,18,0
"Vander Planke, Mr. Julius",3,male,31,18,0
"Vander Planke, Mr. Leo Edmondus",3,male,16,18,0
"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",3,female,31,18,0
"Vartanian, Mr. David",3,male,22,7.225,1
"Veal, Mr. James",2,male,40,13,0
"Vendel, Mr. Olof Edvin",3,male,20,7.8542,0
"Vestrom, Miss. Hulda Amanda Adolfina",3,female,14,7.8542,0
"Vovk, Mr. Janko",3,male,22,7.8958,0
"Waelens, Mr. Achille",3,male,22,9,0
"Walcroft, Miss. Nellie",2,female,31,21,1
"Walker, Mr. William Anderson",1,male,47,34.0208,0
"Ward, Miss. Anna",1,female,35,512.3292,1
"Ware, Mr. John James",2,male,30,21,0
"Ware, Mr. William Jeffery",2,male,23,10.5,0
"Ware, Mrs. John James (Florence Louise Long)",2,female,31,21,1
"Warren, Mr. Frank Manley",1,male,64,75.25,0
"Warren, Mrs. Frank Manley (Anna Sophia Atkinson)",1,female,60,75.25,1
"Watt, Miss. Bertha J",2,female,12,15.75,1
"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",2,female,40,15.75,1
"Webber, Miss. Susan",2,female,32.5,13,1
"Weir, Col. John",1,male,60,26.55,0
"Weisz, Mr. Leopold",2,male,27,26,0
"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",2,female,29,26,1
"Wells, Master. Ralph Lester",2,male,2,23,1
"Wells, Miss. Joan",2,female,4,23,1
"Wells, Mrs. Arthur Henry (""Addie"" Dart Trevaskis)",2,female,29,23,1
"Wenzel, Mr. Linhart",3,male,32.5,9.5,0
"West, Miss. Barbara J",2,female,0.92,27.75,1
"West, Miss. Constance Mirium",2,female,5,27.75,1
"West, Mr. Edwy Arthur",2,male,36,27.75,0
"West, Mrs. Edwy Arthur (Ada Mary Worth)",2,female,33,27.75,1
"Whabee, Mrs. George Joseph (Shawneene Abi-Saab)",3,female,38,7.2292,1
"Wheadon, Mr. Edward H",2,male,66,10.5,0
"White, Mr. Percival Wayland",1,male,54,77.2875,0
"White, Mr. Richard Frasar",1,male,21,77.2875,0
"White, Mrs. John Stuart (Ella Holmes)",1,female,55,135.6333,1
"Wick, Miss. Mary Natalie",1,female,31,164.8667,1
"Wick, Mr. George Dennick",1,male,57,164.8667,0
"Wick, Mrs. George Dennick (Mary Hitchcock)",1,female,45,164.8667,1
"Widegren, Mr. Carl/Charles Peter",3,male,51,7.75,0
"Widener, Mr. George Dunton",1,male,50,211.5,0
"Widener, Mr. Harry Elkins",1,male,27,211.5,0
"Widener, Mrs. George Dunton (Eleanor Elkins)",1,female,50,211.5,1
"Wiklund, Mr. Jakob Alfred",3,male,18,6.4958,0
"Wiklund, Mr. Karl Johan",3,male,21,6.4958,0
"Wilhelms, Mr. Charles",2,male,31,13,1
"Wilkes, Mrs. James (Ellen Needs)",3,female,47,7,1
"Willard, Miss. Constance",1,female,21,26.55,1
"Williams, Mr. Charles Duane",1,male,51,61.3792,0
"Williams, Mr. Leslie",3,male,28.5,16.1,0
"Williams, Mr. Richard Norris II",1,male,21,61.3792,1
"Wilson, Miss. Helen Alice",1,female,31,134.5,1
"Windelov, Mr. Einar",3,male,21,7.25,0
"Wirz, Mr. Albert",3,male,27,8.6625,0
"Wittevrongel, Mr. Camille",3,male,36,9.5,0
"Wright, Miss. Marion",2,female,26,13.5,1
"Wright, Mr. George",1,male,62,26.55,0
"Yasbeck, Mr. Antoni",3,male,27,14.4542,0
"Yasbeck, Mrs. Antoni (Selini Alexander)",3,female,15,14.4542,1
"Young, Miss. Marie Grice",1,female,36,135.6333,1
"Youseff, Mr. Gerious",3,male,45.5,7.225,0
"Yrois, Miss. Henriette (""Mrs Harbeck"")",2,female,24,13,0
"Zabour, Miss. Hileni",3,female,14.5,14.4542,0
"Zakarian, Mr. Mapriededer",3,male,26.5,7.225,0
"Zakarian, Mr. Ortin",3,male,27,7.225,0
"Zimmerman, Mr. Leo",3,male,29,7.875,0
